,,feature,feature
2018/7/10,SH600096,9.57841E-06,-0.019130561
2018/7/10,SZ000538,-0.001683293,-0.192820676
2018/7/10,SZ000560,4.59002E-05,0.034846226
2018/7/10,SZ000878,3.9339E-05,-0.018793474
2018/7/10,SZ002053,0,0.06115175
2018/7/10,SZ002059,0,0
2018/7/10,SZ002265,0.015530119,-0.555476535
2018/7/10,SZ002428,-0.000951674,0.024868122
2018/7/10,SZ002727,0.009895399,-0.335931684
2018/7/10,SZ002750,0.023076434,-0.796590062
2018/7/11,SH600096,-0.000184576,0.045184917
2018/7/11,SZ000538,0.001201631,-0.437139451
2018/7/11,SZ000560,2.03114E-05,0.013511378
2018/7/11,SZ000878,-9.28538E-05,-0.100773763
2018/7/11,SZ002053,0,0.017845571
2018/7/11,SZ002059,0,0
2018/7/11,SZ002265,0.004871032,-0.264864983
2018/7/11,SZ002428,-0.000753575,0.071634909
2018/7/11,SZ002727,0.006638378,-0.296607629
2018/7/11,SZ002750,0.003407343,-0.630643622
2018/7/12,SH600096,0.001042503,-0.138466057
2018/7/12,SZ000538,-0.001111642,-0.080627612
2018/7/12,SZ000560,0.005598216,0.270266838
2018/7/12,SZ000878,0.00142076,-0.225795755
2018/7/12,SZ002053,0,0.052327627
2018/7/12,SZ002059,0,0
2018/7/12,SZ002265,0.008093508,-0.412992723
2018/7/12,SZ002428,0.004383179,-0.231632556
2018/7/12,SZ002727,-6.52147E-06,-0.108307586
2018/7/12,SZ002750,-0.001198013,-0.397548661
2018/7/13,SH600096,0.001137386,-0.130501271
2018/7/13,SZ000538,-0.00173931,-0.1596812
2018/7/13,SZ000560,0.001467869,0.12782431
2018/7/13,SZ000878,0.000856954,-0.107755775
2018/7/13,SZ002053,0,0.052907408
2018/7/13,SZ002059,0,0
2018/7/13,SZ002265,0.001404616,-0.131340282
2018/7/13,SZ002428,-0.001856382,0.007850958
2018/7/13,SZ002727,0.000392617,-0.185646098
2018/7/13,SZ002750,-9.427E-05,-0.056660725
2018/7/16,SH600096,2.65272E-05,-0.027621479
2018/7/16,SZ000538,0.000345241,-0.114588863
2018/7/16,SZ000560,-0.000260089,-0.013944483
2018/7/16,SZ000878,0.000544159,-0.07101175
2018/7/16,SZ002053,-0.034433763,-1.962122861
2018/7/16,SZ002059,0,0
2018/7/16,SZ002265,0.004609348,-0.275268069
2018/7/16,SZ002428,0.00106283,-0.144103208
2018/7/16,SZ002727,0.00175336,-0.285587072
2018/7/16,SZ002750,0.001823567,-0.20005533
2018/7/17,SH600096,0.00035979,0.103930949
2018/7/17,SZ000538,7.58123E-06,-0.036118375
2018/7/17,SZ000560,-0.001157899,-0.119162881
2018/7/17,SZ000878,0.003779089,-0.187656875
2018/7/17,SZ002053,0.041225757,-2.045348333
2018/7/17,SZ002059,0,0
2018/7/17,SZ002265,0.004744292,-0.32362717
2018/7/17,SZ002428,0.000272226,-0.086214449
2018/7/17,SZ002727,0.003980509,-0.236272012
2018/7/17,SZ002750,0.00026611,-0.084016543
2018/7/18,SH600096,0.001118992,0.145026645
2018/7/18,SZ000538,0.000178915,-0.142501308
2018/7/18,SZ000560,0.000471738,-0.069610135
2018/7/18,SZ000878,0.001006747,-0.098759853
2018/7/18,SZ002053,0.09150869,-2.100659559
2018/7/18,SZ002059,0,0
2018/7/18,SZ002265,0.003346646,-0.302314466
2018/7/18,SZ002428,-0.001158855,-0.022014418
2018/7/18,SZ002727,-1.73283E-05,-0.00876699
2018/7/18,SZ002750,0.000295706,-0.171705743
2018/7/19,SH600096,-6.14814E-06,0.011696116
2018/7/19,SZ000538,0.000386949,-0.063315279
2018/7/19,SZ000560,0.000121339,0.049680923
2018/7/19,SZ000878,0.005131941,-0.560174684
2018/7/19,SZ002053,0.098580595,-1.918723665
2018/7/19,SZ002059,0,0
2018/7/19,SZ002265,0.002610819,-0.273656847
2018/7/19,SZ002428,1.46972E-05,-0.012964587
2018/7/19,SZ002727,8.82927E-05,-0.057347724
2018/7/19,SZ002750,-1.00134E-05,-0.134979871
2018/7/20,SH600096,0.000836267,0.114009052
2018/7/20,SZ000538,0.00054563,-0.11596223
2018/7/20,SZ000560,7.77945E-05,-0.032085773
2018/7/20,SZ000878,0.005470557,-0.528521524
2018/7/20,SZ002053,0.088961203,-1.937303808
2018/7/20,SZ002059,0,0
2018/7/20,SZ002265,0.004508077,-0.317454904
2018/7/20,SZ002428,-0.000223535,0.018313795
2018/7/20,SZ002727,-5.27791E-05,-0.00426364
2018/7/20,SZ002750,-6.56054E-05,-0.204202262
2018/7/23,SH600096,3.73853E-05,-0.019692665
2018/7/23,SZ000538,0.002927273,0.20431158
2018/7/23,SZ000560,-0.000340229,-0.007096949
2018/7/23,SZ000878,-0.0011396,-0.217468933
2018/7/23,SZ002053,0.069011655,-1.719298863
2018/7/23,SZ002059,0,0
2018/7/23,SZ002265,0.000751067,-0.117890461
2018/7/23,SZ002428,-0.0022701,-0.244018719
2018/7/23,SZ002727,-0.009781672,0.051002161
2018/7/23,SZ002750,0.000793525,0.10807454
2018/7/24,SH600096,0.003492595,0.390783128
2018/7/24,SZ000538,0.001659356,0.175736405
2018/7/24,SZ000560,-0.002650176,-0.045306877
2018/7/24,SZ000878,0.002031901,0.136388973
2018/7/24,SZ002053,0.077568309,-1.748539825
2018/7/24,SZ002059,0,0
2018/7/24,SZ002265,0.029672751,0.90227994
2018/7/24,SZ002428,0.006761612,0.375271697
2018/7/24,SZ002727,0.004521365,-0.206028609
2018/7/24,SZ002750,-4.10401E-05,-0.006074506
2018/7/25,SH600096,0.000445812,0.132559667
2018/7/25,SZ000538,0.001568144,-0.155600009
2018/7/25,SZ000560,0.000307074,-0.093183913
2018/7/25,SZ000878,-0.000423025,0.020370021
2018/7/25,SZ002053,0.076672781,-1.498443191
2018/7/25,SZ002059,0,0
2018/7/25,SZ002265,0.008601172,0.393637784
2018/7/25,SZ002428,0.002235269,0.172636115
2018/7/25,SZ002727,0.003278858,-0.169865654
2018/7/25,SZ002750,-0.000157204,-0.031665307
2018/7/26,SH600096,0.00124345,0.133374566
2018/7/26,SZ000538,0.003844187,-0.184912911
2018/7/26,SZ000560,-0.003849776,-0.058380145
2018/7/26,SZ000878,-0.000190021,-0.114917895
2018/7/26,SZ002053,0.001425624,-0.505618708
2018/7/26,SZ002059,0,0
2018/7/26,SZ002265,0.000201755,0.048268168
2018/7/26,SZ002428,0.003268658,0.22248084
2018/7/26,SZ002727,0.001236086,-0.117260861
2018/7/26,SZ002750,-4.12288E-05,-0.022197074
2018/7/27,SH600096,5.66665E-05,-0.11715214
2018/7/27,SZ000538,0.00235914,-0.144221314
2018/7/27,SZ000560,0.000392806,-0.067414658
2018/7/27,SZ000878,1.21766E-05,-0.033607182
2018/7/27,SZ002053,0.030077989,-0.860741907
2018/7/27,SZ002059,0,0
2018/7/27,SZ002265,0.008860862,0.373550074
2018/7/27,SZ002428,-0.001142509,0.133761375
2018/7/27,SZ002727,0.001146243,-0.100883577
2018/7/27,SZ002750,0.000464004,-0.188413994
2018/7/30,SH600096,0.00022556,-0.079437959
2018/7/30,SZ000538,-0.000136098,-0.006750312
2018/7/30,SZ000560,0.013118874,0.424144352
2018/7/30,SZ000878,-0.00077893,-0.13355987
2018/7/30,SZ002053,0.032735419,-0.926089067
2018/7/30,SZ002059,0,0
2018/7/30,SZ002265,0.009666334,0.385362612
2018/7/30,SZ002428,0.016510259,0.460307747
2018/7/30,SZ002727,-0.001846319,0.058311086
2018/7/30,SZ002750,0.001658988,-0.131137242
2018/7/31,SH600096,0.003601175,-0.291957941
2018/7/31,SZ000538,0.014220932,-0.354611426
2018/7/31,SZ000560,0.001594304,-0.139834431
2018/7/31,SZ000878,0.002333323,-0.530374824
2018/7/31,SZ002053,0.041226685,-0.986302422
2018/7/31,SZ002059,0,0
2018/7/31,SZ002265,0.002976438,0.202725314
2018/7/31,SZ002428,-0.000644117,-0.046638552
2018/7/31,SZ002727,0.006022646,0.346143535
2018/7/31,SZ002750,0.002976368,-0.233628475
2018/8/1,SH600096,-0.000139006,-0.014236064
2018/8/1,SZ000538,0.001402167,-0.118787678
2018/8/1,SZ000560,0.000308746,-0.072194246
2018/8/1,SZ000878,0.002717136,-0.188461774
2018/8/1,SZ002053,0.043033162,-1.014885019
2018/8/1,SZ002059,0,0
2018/8/1,SZ002265,0.001266601,0.123990643
2018/8/1,SZ002428,-3.83573E-05,-0.037874263
2018/8/1,SZ002727,0.0010061,0.141129686
2018/8/1,SZ002750,0.003433339,-0.173882282
2018/8/2,SH600096,0.002185158,0.140403199
2018/8/2,SZ000538,-0.000523126,-0.01213715
2018/8/2,SZ000560,-0.000334399,0.004788585
2018/8/2,SZ000878,-1.79437E-05,-0.046933548
2018/8/2,SZ002053,0.018951032,-0.726296904
2018/8/2,SZ002059,0,0
2018/8/2,SZ002265,-0.002153708,0.096726275
2018/8/2,SZ002428,-0.000174006,-0.018940568
2018/8/2,SZ002727,4.0369E-05,0.018855891
2018/8/2,SZ002750,0.005334904,-0.267824047
2018/8/3,SH600096,0.010886521,0.354346394
2018/8/3,SZ000538,-0.001421621,0.059530134
2018/8/3,SZ000560,0.001391722,-0.146971007
2018/8/3,SZ000878,-7.31735E-05,0.017387349
2018/8/3,SZ002053,0.038861451,-0.869939148
2018/8/3,SZ002059,0,0
2018/8/3,SZ002265,-0.001972397,-0.16789175
2018/8/3,SZ002428,0.000457562,-0.166372189
2018/8/3,SZ002727,0.001081955,0.170329831
2018/8/3,SZ002750,0.005973783,-0.229939153
2018/8/6,SH600096,0.002488504,0.165311593
2018/8/6,SZ000538,-0.001169913,-0.03707997
2018/8/6,SZ000560,-0.000476861,-0.156445253
2018/8/6,SZ000878,-0.003710964,0.114452013
2018/8/6,SZ002053,0.02723697,-0.749475458
2018/8/6,SZ002059,0,0
2018/8/6,SZ002265,0.00024506,-0.138847201
2018/8/6,SZ002428,9.72848E-05,-0.034339075
2018/8/6,SZ002727,-0.001890186,0.131965224
2018/8/6,SZ002750,0.009220182,-0.329338316
2018/8/7,SH600096,0.041776877,0.699996469
2018/8/7,SZ000538,-0.000970541,0.069711468
2018/8/7,SZ000560,1.20555E-05,-0.042594207
2018/8/7,SZ000878,0.002770712,0.302798034
2018/8/7,SZ002053,0.026576642,-0.765685569
2018/8/7,SZ002059,0,0
2018/8/7,SZ002265,0.000337411,-0.080973538
2018/8/7,SZ002428,-0.000165135,-0.000636143
2018/8/7,SZ002727,0.00093242,0.157419518
2018/8/7,SZ002750,0.00233816,-0.146447917
2018/8/8,SH600096,0.047401463,0.762915863
2018/8/8,SZ000538,0.001337548,-0.10908362
2018/8/8,SZ000560,0.001241813,-0.115251888
2018/8/8,SZ000878,0.000209443,0.124707635
2018/8/8,SZ002053,0.030821461,-0.740922345
2018/8/8,SZ002059,0,0
2018/8/8,SZ002265,0.000832565,-0.085601003
2018/8/8,SZ002428,-0.000226766,0.010242896
2018/8/8,SZ002727,-3.08019E-05,0.004169202
2018/8/8,SZ002750,0.000428188,-0.063163519
2018/8/9,SH600096,0.007400537,0.304026031
2018/8/9,SZ000538,-0.001265679,-0.06435931
2018/8/9,SZ000560,0.001611485,-0.119152216
2018/8/9,SZ000878,0.005296192,0.325833981
2018/8/9,SZ002053,0.045347359,-0.807987997
2018/8/9,SZ002059,0,0
2018/8/9,SZ002265,-0.000264474,-0.031063425
2018/8/9,SZ002428,0.001410417,0.151370487
2018/8/9,SZ002727,-0.001574431,0.12643603
2018/8/9,SZ002750,-8.04988E-05,-0.133423944
2018/8/10,SH600096,-1.25E-05,0.002945539
2018/8/10,SZ000538,0.000198458,-0.053865926
2018/8/10,SZ000560,-0.000556207,-0.037237757
2018/8/10,SZ000878,0.000257708,0.058786605
2018/8/10,SZ002053,0.038284938,-0.787769411
2018/8/10,SZ002059,0,0
2018/8/10,SZ002265,0.000497219,-0.071490964
2018/8/10,SZ002428,-6.08975E-05,-0.02277063
2018/8/10,SZ002727,0.0006675,0.077125024
2018/8/10,SZ002750,0.000448589,-0.072597928
2018/8/13,SH600096,-0.000161151,-0.050690096
2018/8/13,SZ000538,1.42279E-05,0.022588918
2018/8/13,SZ000560,0.000880331,-0.100304441
2018/8/13,SZ000878,-0.000451304,0.07694001
2018/8/13,SZ002053,0.049489974,-0.844541492
2018/8/13,SZ002059,0,0
2018/8/13,SZ002265,0.000196114,-0.044371083
2018/8/13,SZ002428,0.000924021,-0.101454117
2018/8/13,SZ002727,0.000659347,-0.098091323
2018/8/13,SZ002750,0.001103489,-0.100003949
2018/8/14,SH600096,-0.000200179,-0.117777819
2018/8/14,SZ000538,-0.000137507,0.011175359
2018/8/14,SZ000560,0.001087447,-0.101558933
2018/8/14,SZ000878,-0.000281345,0.022637875
2018/8/14,SZ002053,0.091247279,-0.959455617
2018/8/14,SZ002059,0,0
2018/8/14,SZ002265,0.000111903,0.045253616
2018/8/14,SZ002428,0.000269616,-0.048870575
2018/8/14,SZ002727,0.00122111,-0.134076174
2018/8/14,SZ002750,0.003668357,-0.183581313
2018/8/15,SH600096,-0.000113024,-0.007908425
2018/8/15,SZ000538,-0.00032659,0.134479134
2018/8/15,SZ000560,0.000121631,-0.035463162
2018/8/15,SZ000878,-0.000144295,0.05635271
2018/8/15,SZ002053,0.176168757,-1.24664648
2018/8/15,SZ002059,0,0
2018/8/15,SZ002265,0.001153451,0.140281392
2018/8/15,SZ002428,0.000370601,-0.068076732
2018/8/15,SZ002727,-4.48978E-05,0.001491455
2018/8/15,SZ002750,-0.000735704,0.161882479
2018/8/16,SH600096,0.000156354,0.11169887
2018/8/16,SZ000538,-0.001937914,-0.017101673
2018/8/16,SZ000560,0.000338195,0.063888234
2018/8/16,SZ000878,9.74859E-05,-0.029612578
2018/8/16,SZ002053,0.120276157,-1.045243616
2018/8/16,SZ002059,0,0
2018/8/16,SZ002265,-0.001418852,-0.003756326
2018/8/16,SZ002428,0.00049516,-0.067617458
2018/8/16,SZ002727,-0.000308826,-0.142757796
2018/8/16,SZ002750,-0.001742204,0.068861844
2018/8/17,SH600096,1.69402E-07,0.013628988
2018/8/17,SZ000538,0.001416293,0.167376403
2018/8/17,SZ000560,0.000165408,-0.066486942
2018/8/17,SZ000878,0.00019926,-0.053451528
2018/8/17,SZ002053,0.07978672,-0.89599521
2018/8/17,SZ002059,0,0
2018/8/17,SZ002265,0.000454625,-0.218767215
2018/8/17,SZ002428,-0.000121228,0.010572924
2018/8/17,SZ002727,-8.60879E-05,-0.015708808
2018/8/17,SZ002750,-0.000401494,0.022958838
2018/8/20,SH600096,0.00019337,-0.041939746
2018/8/20,SZ000538,0.036094297,0.68892211
2018/8/20,SZ000560,0.003620348,0.200499406
2018/8/20,SZ000878,1.18318E-06,-0.007569451
2018/8/20,SZ002053,0.102762156,-0.993752647
2018/8/20,SZ002059,0,0
2018/8/20,SZ002265,0.001641147,-0.175327687
2018/8/20,SZ002428,-1.53053E-05,-0.010710224
2018/8/20,SZ002727,2.34412E-05,-0.033139736
2018/8/20,SZ002750,0.001389282,-0.110871763
2018/8/21,SH600096,4.66668E-05,0.022945378
2018/8/21,SZ000538,-0.000610057,0.088224201
2018/8/21,SZ000560,0.000262149,-0.057153213
2018/8/21,SZ000878,2.49847E-06,0.013085472
2018/8/21,SZ002053,0.10982478,-1.027334482
2018/8/21,SZ002059,0,0
2018/8/21,SZ002265,0.001267619,-0.133818947
2018/8/21,SZ002428,0.001264295,-0.156148146
2018/8/21,SZ002727,-0.001293891,0.09643407
2018/8/21,SZ002750,0.018536763,-0.420482408
2018/8/22,SH600096,-1.89914E-05,-0.017570367
2018/8/22,SZ000538,-0.003201642,0.044457718
2018/8/22,SZ000560,0.000854931,-0.102962721
2018/8/22,SZ000878,0.001296141,-0.107839227
2018/8/22,SZ002053,0.104733814,-1.003240724
2018/8/22,SZ002059,0,0
2018/8/22,SZ002265,0.000761584,-0.083984728
2018/8/22,SZ002428,0.001135476,-0.16640925
2018/8/22,SZ002727,0.002975787,0.280958145
2018/8/22,SZ002750,0.002870389,-0.235705892
2018/8/23,SH600096,0.000242158,-0.046942871
2018/8/23,SZ000538,0.00228635,-0.147243498
2018/8/23,SZ000560,0.003096982,-0.291184327
2018/8/23,SZ000878,0.000358264,-0.079075805
2018/8/23,SZ002053,0.093268219,-0.946735226
2018/8/23,SZ002059,0,0
2018/8/23,SZ002265,-0.000133645,-0.056437393
2018/8/23,SZ002428,0.001022316,-0.097068948
2018/8/23,SZ002727,-0.000226059,0.036010363
2018/8/23,SZ002750,0.013341267,-0.342768732
2018/8/24,SH600096,4.59887E-05,-0.025274228
2018/8/24,SZ000538,-8.56606E-06,-0.041450143
2018/8/24,SZ000560,0.00218104,-0.207327728
2018/8/24,SZ000878,0.000261593,-0.049268134
2018/8/24,SZ002053,0.095077515,-0.955873902
2018/8/24,SZ002059,0,0
2018/8/24,SZ002265,0.000960813,-0.093749869
2018/8/24,SZ002428,0.001651814,-0.173346059
2018/8/24,SZ002727,7.08215E-05,-0.045884285
2018/8/24,SZ002750,0.009301461,-0.329970089
2018/8/27,SH600096,3.29029E-05,0.019335085
2018/8/27,SZ000538,0.001733539,0.174132611
2018/8/27,SZ000560,0.000546967,-0.075065232
2018/8/27,SZ000878,0.000127663,0.069263121
2018/8/27,SZ002053,0.062797395,-0.766495723
2018/8/27,SZ002059,0,0
2018/8/27,SZ002265,-4.10252E-05,-0.034259339
2018/8/27,SZ002428,-9.15891E-06,0.010394327
2018/8/27,SZ002727,-0.001225583,0.036651909
2018/8/27,SZ002750,0.002328663,-0.143151254
2018/8/28,SH600096,-3.77474E-05,-0.035108538
2018/8/28,SZ000538,0.006192498,0.277997101
2018/8/28,SZ000560,-0.000427694,0.01115388
2018/8/28,SZ000878,0.001690348,0.187192214
2018/8/28,SZ002053,0.04174101,-0.606811675
2018/8/28,SZ002059,0,0
2018/8/28,SZ002265,5.76421E-05,-0.049775203
2018/8/28,SZ002428,0.0002028,0.054084377
2018/8/28,SZ002727,0.000419947,0.149209889
2018/8/28,SZ002750,0.001223017,-0.107418854
2018/8/29,SH600096,0.003398582,0.180045045
2018/8/29,SZ000538,-0.00019529,0.055079732
2018/8/29,SZ000560,0.000788161,0.106313746
2018/8/29,SZ000878,0.001311012,0.148115734
2018/8/29,SZ002053,0.007388699,-0.330380084
2018/8/29,SZ002059,0,0
2018/8/29,SZ002265,0.000114578,-0.051646639
2018/8/29,SZ002428,-5.12442E-05,-0.015611547
2018/8/29,SZ002727,0.001142731,-0.112367513
2018/8/29,SZ002750,0.001971524,-0.131717313
2018/8/30,SH600096,0.000361561,0.063122524
2018/8/30,SZ000538,0.000676742,0.097355725
2018/8/30,SZ000560,2.22082E-05,0.016082853
2018/8/30,SZ000878,-0.000836498,-0.117584154
2018/8/30,SZ002053,0.005429658,-0.296284716
2018/8/30,SZ002059,0,0
2018/8/30,SZ002265,0.000425759,-0.067536123
2018/8/30,SZ002428,0.000232337,-0.051739089
2018/8/30,SZ002727,0.001907768,-0.139257568
2018/8/30,SZ002750,-0.000404444,-0.00208777
2018/8/31,SH600096,-9.67316E-06,0.014526073
2018/8/31,SZ000538,0.00027896,0.086349254
2018/8/31,SZ000560,8.68625E-06,-0.009798257
2018/8/31,SZ000878,0.000346017,-0.13623293
2018/8/31,SZ002053,0.004686209,-0.317170233
2018/8/31,SZ002059,0,0
2018/8/31,SZ002265,0.000402249,-0.069477214
2018/8/31,SZ002428,0.00017034,-0.062202889
2018/8/31,SZ002727,0.000185608,0.044442242
2018/8/31,SZ002750,0.001125054,-0.103876979
2018/9/3,SH600096,6.26822E-05,-0.02472554
2018/9/3,SZ000538,0.00015367,-0.121457976
2018/9/3,SZ000560,-1.32461E-05,-0.00824733
2018/9/3,SZ000878,0.00305468,-0.163955506
2018/9/3,SZ002053,-0.005083866,-0.165284161
2018/9/3,SZ002059,0,0
2018/9/3,SZ002265,0.000239828,-0.046081539
2018/9/3,SZ002428,0.002972895,-0.162327218
2018/9/3,SZ002727,0.002660139,0.154719734
2018/9/3,SZ002750,0.006692759,-0.351763244
2018/9/4,SH600096,-0.000789449,-0.132030525
2018/9/4,SZ000538,-0.00033464,-0.06167392
2018/9/4,SZ000560,-3.09882E-05,-0.040945987
2018/9/4,SZ000878,0.009513543,-0.378430197
2018/9/4,SZ002053,0.00353205,0.542703769
2018/9/4,SZ002059,0,0
2018/9/4,SZ002265,0.00187512,-0.75923911
2018/9/4,SZ002428,-0.000213952,-0.262459368
2018/9/4,SZ002727,9.35263E-05,0.059273269
2018/9/4,SZ002750,0.002377186,-0.178772064
2018/9/5,SH600096,-0.000124628,0.004371404
2018/9/5,SZ000538,-0.000289814,0.05326181
2018/9/5,SZ000560,7.1006E-06,-0.00799813
2018/9/5,SZ000878,0.007398717,-0.301998774
2018/9/5,SZ002053,-0.007910912,0.13299771
2018/9/5,SZ002059,0,0
2018/9/5,SZ002265,0.012238022,-0.607771081
2018/9/5,SZ002428,0.002301564,-0.228761208
2018/9/5,SZ002727,0.000212085,0.075946489
2018/9/5,SZ002750,0.003290935,-0.199110184
2018/9/6,SH600096,0.00025113,-0.084041154
2018/9/6,SZ000538,0.00116538,0.153786062
2018/9/6,SZ000560,9.67393E-05,-0.074981327
2018/9/6,SZ000878,0.002496282,-0.152267469
2018/9/6,SZ002053,0.009364398,-0.287287343
2018/9/6,SZ002059,0,0
2018/9/6,SZ002265,0.013679192,-0.44678689
2018/9/6,SZ002428,0.003834521,-0.304217473
2018/9/6,SZ002727,0.000139079,-0.035869613
2018/9/6,SZ002750,0.001880541,-0.152522531
2018/9/7,SH600096,0.00022317,-0.045776322
2018/9/7,SZ000538,0.00232875,0.189266422
2018/9/7,SZ000560,2.3237E-05,-0.014329086
2018/9/7,SZ000878,0.000216647,-0.045142849
2018/9/7,SZ002053,0.001079484,-0.169963065
2018/9/7,SZ002059,0,0
2018/9/7,SZ002265,0.015523849,-0.748491554
2018/9/7,SZ002428,0.001939483,-0.230639656
2018/9/7,SZ002727,0.001296727,0.129188997
2018/9/7,SZ002750,0.000442809,-0.077877836
2018/9/10,SH600096,0.000347779,-0.055596504
2018/9/10,SZ000538,0.000699833,0.0887909
2018/9/10,SZ000560,-0.000612835,-0.425758721
2018/9/10,SZ000878,0.002708536,-0.156562553
2018/9/10,SZ002053,-0.004729736,-0.071799015
2018/9/10,SZ002059,0,0
2018/9/10,SZ002265,0.02243294,-0.858063256
2018/9/10,SZ002428,0.016641275,-0.730793508
2018/9/10,SZ002727,0.000346862,-0.090444519
2018/9/10,SZ002750,0.001509121,-0.118281966
2018/9/11,SH600096,0.001095081,-0.10121224
2018/9/11,SZ000538,-0.000748708,0.073285192
2018/9/11,SZ000560,0.002431521,-0.151243899
2018/9/11,SZ000878,0.003217826,-0.199478388
2018/9/11,SZ002053,0.001381757,-0.199689226
2018/9/11,SZ002059,1,3.1
2018/9/11,SZ002265,0.015042529,-0.664553504
2018/9/11,SZ002428,0.020595346,-0.524221577
2018/9/11,SZ002727,-0.001351527,-0.06374804
2018/9/11,SZ002750,0.00049595,-0.084911639
2018/9/12,SH600096,0.001821651,-0.139265311
2018/9/12,SZ000538,0.000339734,0.078435775
2018/9/12,SZ000560,3.36534E-05,-0.018082235
2018/9/12,SZ000878,0.003124045,-0.169308284
2018/9/12,SZ002053,-0.00284953,-0.137281175
2018/9/12,SZ002059,0.001934541,0.136348602
2018/9/12,SZ002265,0.006230193,-0.441954319
2018/9/12,SZ002428,0.01233306,-0.413613276
2018/9/12,SZ002727,-9.51039E-05,0.016971978
2018/9/12,SZ002750,0.001953822,-0.137786673
2018/9/13,SH600096,0.002117373,-0.172854687
2018/9/13,SZ000538,0.000324916,0.056954085
2018/9/13,SZ000560,0.000580711,-0.116799166
2018/9/13,SZ000878,0.002106446,-0.149996819
2018/9/13,SZ002053,0.005203017,-0.23712941
2018/9/13,SZ002059,0.016679201,0.400358738
2018/9/13,SZ002265,0.001103076,-0.342249365
2018/9/13,SZ002428,0.009076119,-0.355859401
2018/9/13,SZ002727,0.000137533,0.038649375
2018/9/13,SZ002750,0.006239958,-0.278835602
2018/9/14,SH600096,0.005534942,-0.336709808
2018/9/14,SZ000538,0.000131997,0.037034807
2018/9/14,SZ000560,0.001081189,-0.097660185
2018/9/14,SZ000878,0.000414334,-0.080422053
2018/9/14,SZ002053,0.000264293,-0.183261131
2018/9/14,SZ002059,0.156756313,-1.227366353
2018/9/14,SZ002265,0.001130228,0.125965886
2018/9/14,SZ002428,0.001505874,-0.116450439
2018/9/14,SZ002727,9.7278E-05,-0.123798132
2018/9/14,SZ002750,-9.59318E-05,-0.031120957
2018/9/17,SH600096,0.001739953,-0.185828159
2018/9/17,SZ000538,0.003565902,0.198392214
